size,sort_name,array_type,average_time
31900,Hybrid Merge+Insertion Sort,random,12
32000,Hybrid Merge+Insertion Sort,random,12
32100,Hybrid Merge+Insertion Sort,random,12
32200,Hybrid Merge+Insertion Sort,random,12
32300,Hybrid Merge+Insertion Sort,random,12
32400,Hybrid Merge+Insertion Sort,random,12
32500,Hybrid Merge+Insertion Sort,random,12
32600,Hybrid Merge+Insertion Sort,random,12
32700,Hybrid Merge+Insertion Sort,random,12
32800,Hybrid Merge+Insertion Sort,random,12
32900,Hybrid Merge+Insertion Sort,random,12
33000,Hybrid Merge+Insertion Sort,random,12
33100,Hybrid Merge+Insertion Sort,random,14
33200,Hybrid Merge+Insertion Sort,random,14
33300,Hybrid Merge+Insertion Sort,random,14
33400,Hybrid Merge+Insertion Sort,random,12
33500,Hybrid Merge+Insertion Sort,random,13
33600,Hybrid Merge+Insertion Sort,random,14
33700,Hybrid Merge+Insertion Sort,random,15
33800,Hybrid Merge+Insertion Sort,random,13
33900,Hybrid Merge+Insertion Sort,random,13
34000,Hybrid Merge+Insertion Sort,random,13
34100,Hybrid Merge+Insertion Sort,random,14
34200,Hybrid Merge+Insertion Sort,random,14
34300,Hybrid Merge+Insertion Sort,random,15
34400,Hybrid Merge+Insertion Sort,random,13
34500,Hybrid Merge+Insertion Sort,random,15
34600,Hybrid Merge+Insertion Sort,random,14
34700,Hybrid Merge+Insertion Sort,random,15
34800,Hybrid Merge+Insertion Sort,random,14
34900,Hybrid Merge+Insertion Sort,random,15
35000,Hybrid Merge+Insertion Sort,random,15
35100,Hybrid Merge+Insertion Sort,random,13
35200,Hybrid Merge+Insertion Sort,random,16
35300,Hybrid Merge+Insertion Sort,random,13
35400,Hybrid Merge+Insertion Sort,random,14
35500,Hybrid Merge+Insertion Sort,random,15
35600,Hybrid Merge+Insertion Sort,random,14
35700,Hybrid Merge+Insertion Sort,random,15
35800,Hybrid Merge+Insertion Sort,random,14
35900,Hybrid Merge+Insertion Sort,random,14
36000,Hybrid Merge+Insertion Sort,random,17
36100,Hybrid Merge+Insertion Sort,random,14
36200,Hybrid Merge+Insertion Sort,random,17
36300,Hybrid Merge+Insertion Sort,random,15
36400,Hybrid Merge+Insertion Sort,random,16
36500,Hybrid Merge+Insertion Sort,random,18
36600,Hybrid Merge+Insertion Sort,random,15
36700,Hybrid Merge+Insertion Sort,random,16
36800,Hybrid Merge+Insertion Sort,random,16
36900,Hybrid Merge+Insertion Sort,random,15
37000,Hybrid Merge+Insertion Sort,random,17
